#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
-1.0,320,796.040653,0,11.433142,1.884679,294_0_0_11_11_1_2_1_0_0_0_0_0_0_
-1.0,331,800.041881,0,9.281682,1.991353,306_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,336,804.057563,0,9.281682,2.114751,311_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,339,808.18519,0,15.625789,2.345542,316_0_0_9_11_1_2_0_0_0_0_0_0_0_
-1.0,313,811.943625,0,9.281682,2.10837,288_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,289,815.469703,0,7.829535,2.232068,266_0_1_9_10_2_1_0_0_0_0_0_0_0_
-1.0,400,840.659714,0,11.879448,2.346947,376_0_0_9_11_3_1_0_0_0_0_0_0_0_
-1.0,456,846.141759,0,5.379136,1.884679,431_0_0_12_12_0_1_0_0_0_0_0_0_0_
-1.0,370,850.528185,0,10.569244,2.234291,345_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,310,854.362993,0,6.686628,1.884679,285_0_0_11_12_1_1_0_0_0_0_0_0_0_
-1.0,458,859.761052,0,10.569244,2.234291,433_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,360,866.01285,0,7.97419,2.000977,335_0_0_11_12_1_1_0_0_0_0_0_0_0_
0.0,671,874.097799,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,880.96226,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,887.985464,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,895.004291,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,902.159397,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,909.436193,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,916.626845,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,923.932863,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,931.145823,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,938.368145,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,964.599622,0,50.290382,2.46184,646_0_0_8_12_4_1_0_0_0_0_0_0_0_
-1.0,255,967.715087,0,17.826344,2.460977,236_0_1_6_8_0_3_1_0_0_0_0_0_0_
-1.0,310,971.528214,0,11.599376,2.336092,289_0_1_7_10_1_2_0_0_0_0_0_0_0_
-1.0,275,974.841453,0,34.566029,2.037186,253_0_2_7_11_2_0_0_0_0_0_0_0_0_
-1.0,424,981.76428,0,18.354406,2.679764,399_0_0_7_12_5_1_0_0_0_0_0_0_0_
0.0,671,989.646001,0,67.930817,2.529412,651_0_0_4_10_4_1_1_0_0_0_0_0_0_
0.0,671,997.355517,0,36.862209,2.566113,649_1_0_6_11_4_0_0_0_0_0_0_0_0_
-1.0,354,1001.414435,0,17.066845,2.70092,329_0_0_7_12_5_1_0_0_0_0_0_0_0_
0.0,671,1022.789039,0,39.3237,2.339898,651_1_0_6_10_2_1_0_0_0_0_0_0_0_
0.0,671,1030.692411,0,52.594547,2.455675,650_0_1_6_10_2_2_0_0_0_0_0_0_0_
0.0,671,1038.267426,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1045.546223,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1052.843299,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1059.908863,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
0.0,671,1066.915668,0,331.821747,2.114751,653_0_0_9_9_0_0_0_0_0_0_0_0_0_
